Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin,Days_Rest_Home,Days_Rest_Away,home_win,implied_home_prob_vig,implied_away_prob_vig,vig,market_home_prob
2007-11-13,Indiana Pacers,Boston Celtics,197.5,6.0,250.0,-300.0,187,-15,3,3,0,0.2857142857142857,0.75,0.03571428571428559,0.27586206896551724
2007-11-13,Memphis Grizzlies,Houston Rockets,198.5,6.5,230.0,-270.0,204,6,3,2,1,0.30303030303030304,0.7297297297297297,0.03276003276003281,0.2934179222839017
2007-11-13,Dallas Mavericks,Philadelphia 76ers,190.5,12.0,-800.0,600.0,183,15,3,2,1,0.8888888888888888,0.14285714285714285,0.03174603174603163,0.8615384615384616
2007-11-13,San Antonio Spurs,Los Angeles Lakers,198.5,8.5,-365.0,305.0,199,15,2,4,1,0.7849462365591398,0.24691358024691357,0.03185981680605332,0.7607101505210343
2007-11-13,Phoenix Suns,New York Knicks,207.0,11.0,-1400.0,900.0,215,11,3,2,1,0.9333333333333333,0.1,0.03333333333333344,0.9032258064516129
2007-11-13,Portland Trail Blazers,Detroit Pistons,189.0,4.5,190.0,-230.0,196,8,3,2,1,0.3448275862068966,0.696969696969697,0.04179728317659359,0.33099297893681046
2007-11-14,Golden State Warriors,Detroit Pistons,207.0,3.0,100.0,-120.0,215,-7,6,1,0,0.5,0.5454545454545454,0.045454545454545414,0.4782608695652174
2007-11-14,Los Angeles Clippers,New York Knicks,200.0,7.0,-325.0,275.0,165,3,3,1,1,0.7647058823529411,0.26666666666666666,0.03137254901960773,0.7414448669201521
2007-11-14,New Orleans Pelicans,Philadelphia 76ers,187.5,8.5,-450.0,370.0,171,19,2,1,1,0.8181818181818182,0.2127659574468085,0.030947775628626717,0.7936210131332083
2007-11-14,Milwaukee Bucks,Memphis Grizzlies,205.0,6.0,-260.0,220.0,201,3,3,1,1,0.7222222222222222,0.3125,0.03472222222222232,0.6979865771812079
2007-11-14,Minnesota Timberwolves,Sacramento Kings,194.0,3.0,-130.0,110.0,211,5,4,2,1,0.5652173913043478,0.47619047619047616,0.04140786749482395,0.5427435387673957
2007-11-14,Houston Rockets,Los Angeles Lakers,199.0,7.5,-290.0,240.0,183,-3,1,1,0,0.7435897435897436,0.29411764705882354,0.03770739064856721,0.7165697674418604
2007-11-14,Miami Heat,Seattle SuperSonics,193.5,6.0,-290.0,240.0,199,-9,1,1,0,0.7435897435897436,0.29411764705882354,0.03770739064856721,0.7165697674418604
2007-11-14,Boston Celtics,New Jersey Nets,184.5,9.5,-650.0,525.0,160,22,1,2,1,0.8666666666666667,0.16,0.026666666666666616,0.8441558441558442
2007-11-14,Washington Wizards,Indiana Pacers,201.5,6.0,-240.0,200.0,193,13,3,1,1,0.7058823529411765,0.3333333333333333,0.03921568627450989,0.6792452830188679
2007-11-14,Cleveland Cavaliers,Orlando Magic,194.5,4.5,-150.0,130.0,233,-1,2,1,0,0.6,0.43478260869565216,0.034782608695652195,0.5798319327731092
2007-11-14,Denver Nuggets,Portland Trail Blazers,211.5,10.0,-700.0,550.0,203,17,2,1,1,0.875,0.15384615384615385,0.028846153846153744,0.8504672897196263
2007-11-14,Toronto Raptors,Utah Jazz,203.0,1.0,-110.0,-110.0,180,-4,4,2,0,0.5238095238095238,0.5238095238095238,0.04761904761904767,0.5
2007-11-14,Atlanta Hawks,Charlotte Bobcats,187.5,5.0,-240.0,200.0,226,8,3,1,1,0.7058823529411765,0.3333333333333333,0.03921568627450989,0.6792452830188679
2007-11-15,Dallas Mavericks,San Antonio Spurs,186.5,3.0,-125.0,105.0,197,13,2,2,1,0.5555555555555556,0.4878048780487805,0.04336043360433606,0.5324675324675325
2007-11-15,Phoenix Suns,Chicago Bulls,203.0,7.5,-425.0,355.0,214,10,2,5,1,0.8095238095238095,0.21978021978021978,0.0293040293040292,0.7864768683274023
2007-11-16,Golden State Warriors,Los Angeles Clippers,216.0,3.5,-250.0,210.0,227,17,2,2,1,0.7142857142857143,0.3225806451612903,0.03686635944700467,0.6888888888888889
2007-11-16,Los Angeles Lakers,Detroit Pistons,201.0,3.5,-175.0,155.0,194,12,2,2,1,0.6363636363636364,0.39215686274509803,0.028520499108734443,0.6187175043327556
2007-11-16,Sacramento Kings,New York Knicks,199.0,3.0,-170.0,150.0,234,4,2,2,1,0.6296296296296297,0.4,0.029629629629629672,0.6115107913669064
2007-11-16,Minnesota Timberwolves,Washington Wizards,194.5,2.5,150.0,-170.0,194,-16,2,2,0,0.4,0.6296296296296297,0.029629629629629672,0.38848920863309355
2007-11-16,Memphis Grizzlies,New Orleans Pelicans,202.0,3.5,140.0,-160.0,238,-2,2,2,0,0.4166666666666667,0.6153846153846154,0.03205128205128216,0.40372670807453415
2007-11-16,San Antonio Spurs,Houston Rockets,181.0,8.5,-500.0,400.0,174,6,1,2,1,0.8333333333333334,0.2,0.03333333333333344,0.8064516129032258
2007-11-16,Cleveland Cavaliers,Utah Jazz,203.0,2.0,-125.0,105.0,193,5,2,2,1,0.5555555555555556,0.4878048780487805,0.04336043360433606,0.5324675324675325
2007-11-16,New Jersey Nets,Orlando Magic,184.0,3.5,150.0,-170.0,165,-25,2,2,0,0.4,0.6296296296296297,0.029629629629629672,0.38848920863309355
2007-11-16,Boston Celtics,Miami Heat,184.0,10.5,-650.0,525.0,183,1,2,2,1,0.8666666666666667,0.16,0.026666666666666616,0.8441558441558442
2007-11-16,Philadelphia 76ers,Portland Trail Blazers,186.0,3.0,-150.0,130.0,180,4,2,2,1,0.6,0.43478260869565216,0.034782608695652195,0.5798319327731092
2007-11-16,Atlanta Hawks,Seattle SuperSonics,206.0,7.5,-275.0,235.0,249,-3,2,2,0,0.7333333333333333,0.29850746268656714,0.03184079601990053,0.7107039537126325
2007-11-16,Toronto Raptors,Indiana Pacers,193.5,8.5,-335.0,285.0,211,9,2,2,1,0.7701149425287356,0.2597402597402597,0.029855202268995296,0.7477895347151761
2007-11-17,Denver Nuggets,New York Knicks,216.0,12.5,-1300.0,850.0,198,32,3,1,1,0.9285714285714286,0.10526315789473684,0.03383458646616555,0.8981818181818181
